dateState,date,state,cases,deaths,pop,cases.perCap,deaths.perCap,cases.new,deaths.new
"2020-01-21, Washington",2020-01-21,Washington,1,0,822083,1.2164221860809676e-6,0,1,0
"2020-01-22, Washington",2020-01-22,Washington,1,0,822083,1.2164221860809676e-6,0,0,0
"2020-01-23, Washington",2020-01-23,Washington,1,0,822083,1.2164221860809676e-6,0,0,0
"2020-01-24, Illinois",2020-01-24,Illinois,1,0,5150233,1.941659726851193e-7,0,1,0
"2020-01-24, Washington",2020-01-24,Washington,1,0,822083,1.2164221860809676e-6,0,0,0
"2020-01-25, California",2020-01-25,California,1,0,3175692,3.1489199834240855e-7,0,1,0
"2020-01-25, Illinois",2020-01-25,Illinois,1,0,5150233,1.941659726851193e-7,0,0,0
"2020-01-25, Washington",2020-01-25,Washington,1,0,822083,1.2164221860809676e-6,0,0,0
"2020-01-26, Arizona",2020-01-26,Arizona,1,0,4485414,2.2294486083112952e-7,0,1,0
"2020-01-26, California",2020-01-26,California,2,0,13214799,1.513454726023453e-7,0,1,0
"2020-01-26, Illinois",2020-01-26,Illinois,1,0,5150233,1.941659726851193e-7,0,0,0
"2020-01-26, Washington",2020-01-26,Washington,1,0,822083,1.2164221860809676e-6,0,0,0
"2020-01-27, Arizona",2020-01-27,Arizona,1,0,4485414,2.2294486083112952e-7,0,0,0
"2020-01-27, California",2020-01-27,California,2,0,13214799,1.513454726023453e-7,0,0,0
"2020-01-27, Illinois",2020-01-27,Illinois,1,0,5150233,1.941659726851193e-7,0,0,0
"2020-01-27, Washington",2020-01-27,Washington,1,0,822083,1.2164221860809676e-6,0,0,0
"2020-01-28, Arizona",2020-01-28,Arizona,1,0,4485414,2.2294486083112952e-7,0,0,0
"2020-01-28, California",2020-01-28,California,2,0,13214799,1.513454726023453e-7,0,0,0
"2020-01-28, Illinois",2020-01-28,Illinois,1,0,5150233,1.941659726851193e-7,0,0,0
"2020-01-28, Washington",2020-01-28,Washington,1,0,822083,1.2164221860809676e-6,0,0,0
"2020-01-29, Arizona",2020-01-29,Arizona,1,0,4485414,2.2294486083112952e-7,0,0,0
"2020-01-29, California",2020-01-29,California,2,0,13214799,1.513454726023453e-7,0,0,0
"2020-01-29, Illinois",2020-01-29,Illinois,1,0,5150233,1.941659726851193e-7,0,0,0
"2020-01-29, Washington",2020-01-29,Washington,1,0,822083,1.2164221860809676e-6,0,0,0
"2020-01-30, Arizona",2020-01-30,Arizona,1,0,4485414,2.2294486083112952e-7,0,0,0
"2020-01-30, California",2020-01-30,California,2,0,13214799,1.513454726023453e-7,0,0,0
"2020-01-30, Illinois",2020-01-30,Illinois,2,0,5150233,3.883319453702386e-7,0,1,0
"2020-01-30, Washington",2020-01-30,Washington,1,0,822083,1.2164221860809676e-6,0,0,0
"2020-01-31, Arizona",2020-01-31,Arizona,1,0,4485414,2.2294486083112952e-7,0,0,0
"2020-01-31, California",2020-01-31,California,3,0,15142651,1.981159045400967e-7,0,1,0
"2020-01-31, Illinois",2020-01-31,Illinois,2,0,5150233,3.883319453702386e-7,0,0,0
"2020-01-31, Washington",2020-01-31,Washington,1,0,822083,1.2164221860809676e-6,0,0,0
"2020-02-01, Arizona",2020-02-01,Arizona,1,0,4485414,2.2294486083112952e-7,0,0,0
"2020-02-01, California",2020-02-01,California,3,0,15142651,1.981159045400967e-7,0,0,0
"2020-02-01, Illinois",2020-02-01,Illinois,2,0,5150233,3.883319453702386e-7,0,0,0
"2020-02-01, Massachusetts",2020-02-01,Massachusetts,1,0,803907,1.2439249813722235e-6,0,1,0
"2020-02-01, Washington",2020-02-01,Washington,1,0,822083,1.2164221860809676e-6,0,0,0
"2020-02-02, Arizona",2020-02-02,Arizona,1,0,4485414,2.2294486083112952e-7,0,0,0
"2020-02-02, California",2020-02-02,California,6,0,16024200,3.744336690755233e-7,0,3,0
"2020-02-02, Illinois",2020-02-02,Illinois,2,0,5150233,3.883319453702386e-7,0,0,0
"2020-02-02, Massachusetts",2020-02-02,Massachusetts,1,0,803907,1.2439249813722235e-6,0,0,0
"2020-02-02, Washington",2020-02-02,Washington,1,0,822083,1.2164221860809676e-6,0,0,0
"2020-02-03, Arizona",2020-02-03,Arizona,1,0,4485414,2.2294486083112952e-7,0,0,0
"2020-02-03, California",2020-02-03,California,6,0,16024200,3.744336690755233e-7,0,0,0
"2020-02-03, Illinois",2020-02-03,Illinois,2,0,5150233,3.883319453702386e-7,0,0,0
"2020-02-03, Massachusetts",2020-02-03,Massachusetts,1,0,803907,1.2439249813722235e-6,0,0,0
"2020-02-03, Washington",2020-02-03,Washington,1,0,822083,1.2164221860809676e-6,0,0,0
"2020-02-04, Arizona",2020-02-04,Arizona,1,0,4485414,2.2294486083112952e-7,0,0,0
"2020-02-04, California",2020-02-04,California,6,0,16024200,3.744336690755233e-7,0,0,0
"2020-02-04, Illinois",2020-02-04,Illinois,2,0,5150233,3.883319453702386e-7,0,0,0
"2020-02-04, Massachusetts",2020-02-04,Massachusetts,1,0,803907,1.2439249813722235e-6,0,0,0
"2020-02-04, Washington",2020-02-04,Washington,1,0,822083,1.2164221860809676e-6,0,0,0
"2020-02-05, Arizona",2020-02-05,Arizona,1,0,4485414,2.2294486083112952e-7,0,0,0
"2020-02-05, California",2020-02-05,California,6,0,16024200,3.744336690755233e-7,0,0,0
"2020-02-05, Illinois",2020-02-05,Illinois,2,0,5150233,3.883319453702386e-7,0,0,0
"2020-02-05, Massachusetts",2020-02-05,Massachusetts,1,0,803907,1.2439249813722235e-6,0,0,0
"2020-02-05, Washington",2020-02-05,Washington,1,0,822083,1.2164221860809676e-6,0,0,0
"2020-02-05, Wisconsin",2020-02-05,Wisconsin,1,0,546695,1.8291734879594654e-6,0,1,0
"2020-02-06, Arizona",2020-02-06,Arizona,1,0,4485414,2.2294486083112952e-7,0,0,0
"2020-02-06, California",2020-02-06,California,6,0,16024200,3.744336690755233e-7,0,0,0
"2020-02-06, Illinois",2020-02-06,Illinois,2,0,5150233,3.883319453702386e-7,0,0,0
"2020-02-06, Massachusetts",2020-02-06,Massachusetts,1,0,803907,1.2439249813722235e-6,0,0,0
"2020-02-06, Washington",2020-02-06,Washington,1,0,822083,1.2164221860809676e-6,0,0,0
"2020-02-06, Wisconsin",2020-02-06,Wisconsin,1,0,546695,1.8291734879594654e-6,0,0,0
"2020-02-07, Arizona",2020-02-07,Arizona,1,0,4485414,2.2294486083112952e-7,0,0,0
"2020-02-07, California",2020-02-07,California,6,0,16024200,3.744336690755233e-7,0,0,0
"2020-02-07, Illinois",2020-02-07,Illinois,2,0,5150233,3.883319453702386e-7,0,0,0
"2020-02-07, Massachusetts",2020-02-07,Massachusetts,1,0,803907,1.2439249813722235e-6,0,0,0
"2020-02-07, Washington",2020-02-07,Washington,1,0,822083,1.2164221860809676e-6,0,0,0
"2020-02-07, Wisconsin",2020-02-07,Wisconsin,1,0,546695,1.8291734879594654e-6,0,0,0
"2020-02-08, Arizona",2020-02-08,Arizona,1,0,4485414,2.2294486083112952e-7,0,0,0
"2020-02-08, California",2020-02-08,California,6,0,16024200,3.744336690755233e-7,0,0,0
"2020-02-08, Illinois",2020-02-08,Illinois,2,0,5150233,3.883319453702386e-7,0,0,0
"2020-02-08, Massachusetts",2020-02-08,Massachusetts,1,0,803907,1.2439249813722235e-6,0,0,0
"2020-02-08, Washington",2020-02-08,Washington,1,0,822083,1.2164221860809676e-6,0,0,0
"2020-02-08, Wisconsin",2020-02-08,Wisconsin,1,0,546695,1.8291734879594654e-6,0,0,0
"2020-02-09, Arizona",2020-02-09,Arizona,1,0,4485414,2.2294486083112952e-7,0,0,0
"2020-02-09, California",2020-02-09,California,6,0,16024200,3.744336690755233e-7,0,0,0
"2020-02-09, Illinois",2020-02-09,Illinois,2,0,5150233,3.883319453702386e-7,0,0,0
"2020-02-09, Massachusetts",2020-02-09,Massachusetts,1,0,803907,1.2439249813722235e-6,0,0,0
"2020-02-09, Washington",2020-02-09,Washington,1,0,822083,1.2164221860809676e-6,0,0,0
"2020-02-09, Wisconsin",2020-02-09,Wisconsin,1,0,546695,1.8291734879594654e-6,0,0,0
"2020-02-10, Arizona",2020-02-10,Arizona,1,0,4485414,2.2294486083112952e-7,0,0,0
"2020-02-10, California",2020-02-10,California,7,0,19362530,3.615230034504788e-7,0,1,0
"2020-02-10, Illinois",2020-02-10,Illinois,2,0,5150233,3.883319453702386e-7,0,0,0
"2020-02-10, Massachusetts",2020-02-10,Massachusetts,1,0,803907,1.2439249813722235e-6,0,0,0
"2020-02-10, Washington",2020-02-10,Washington,1,0,822083,1.2164221860809676e-6,0,0,0
"2020-02-10, Wisconsin",2020-02-10,Wisconsin,1,0,546695,1.8291734879594654e-6,0,0,0
"2020-02-11, Arizona",2020-02-11,Arizona,1,0,4485414,2.2294486083112952e-7,0,0,0
"2020-02-11, California",2020-02-11,California,7,0,19362530,3.615230034504788e-7,0,0,0
"2020-02-11, Illinois",2020-02-11,Illinois,2,0,5150233,3.883319453702386e-7,0,0,0
"2020-02-11, Massachusetts",2020-02-11,Massachusetts,1,0,803907,1.2439249813722235e-6,0,0,0
"2020-02-11, Washington",2020-02-11,Washington,1,0,822083,1.2164221860809676e-6,0,0,0
"2020-02-11, Wisconsin",2020-02-11,Wisconsin,1,0,546695,1.8291734879594654e-6,0,0,0
"2020-02-12, Arizona",2020-02-12,Arizona,1,0,4485414,2.2294486083112952e-7,0,0,0
"2020-02-12, California",2020-02-12,California,7,0,19362530,3.615230034504788e-7,0,0,0
"2020-02-12, Illinois",2020-02-12,Illinois,2,0,5150233,3.883319453702386e-7,0,0,0
"2020-02-12, Massachusetts",2020-02-12,Massachusetts,1,0,803907,1.2439249813722235e-6,0,0,0
"2020-02-12, Texas",2020-02-12,Texas,1,0,2003554,4.991130760638345e-7,0,1,0
"2020-02-12, Washington",2020-02-12,Washington,1,0,822083,1.2164221860809676e-6,0,0,0
"2020-02-12, Wisconsin",2020-02-12,Wisconsin,1,0,546695,1.8291734879594654e-6,0,0,0
"2020-02-13, Arizona",2020-02-13,Arizona,1,0,4485414,2.2294486083112952e-7,0,0,0
"2020-02-13, California",2020-02-13,California,7,0,19362530,3.615230034504788e-7,0,0,0
"2020-02-13, Illinois",2020-02-13,Illinois,2,0,5150233,3.883319453702386e-7,0,0,0
"2020-02-13, Massachusetts",2020-02-13,Massachusetts,1,0,803907,1.2439249813722235e-6,0,0,0
"2020-02-13, Texas",2020-02-13,Texas,2,0,2003554,9.98226152127669e-7,0,1,0
"2020-02-13, Washington",2020-02-13,Washington,1,0,822083,1.2164221860809676e-6,0,0,0
"2020-02-13, Wisconsin",2020-02-13,Wisconsin,1,0,546695,1.8291734879594654e-6,0,0,0
"2020-02-14, Arizona",2020-02-14,Arizona,1,0,4485414,2.2294486083112952e-7,0,0,0
"2020-02-14, California",2020-02-14,California,7,0,19362530,3.615230034504788e-7,0,0,0
"2020-02-14, Illinois",2020-02-14,Illinois,2,0,5150233,3.883319453702386e-7,0,0,0
"2020-02-14, Massachusetts",2020-02-14,Massachusetts,1,0,803907,1.2439249813722235e-6,0,0,0
"2020-02-14, Texas",2020-02-14,Texas,2,0,2003554,9.98226152127669e-7,0,0,0
"2020-02-14, Washington",2020-02-14,Washington,1,0,822083,1.2164221860809676e-6,0,0,0
"2020-02-14, Wisconsin",2020-02-14,Wisconsin,1,0,546695,1.8291734879594654e-6,0,0,0
"2020-02-15, Arizona",2020-02-15,Arizona,1,0,4485414,2.2294486083112952e-7,0,0,0
