date,county,state,cases,deaths,confirmed_cases,confirmed_deaths,probable_cases,probable_deaths
6/25/2020,Blanco,Texas,27,1,27,1,,
6/25/2020,Bland,Virginia,2,0,,,,
6/25/2020,Bleckley,Georgia,55,1,55,1,,
6/25/2020,Bledsoe,Tennessee,616,1,616,,0,
6/25/2020,Blount,Alabama,168,1,165,1,3,0
6/25/2020,Blount,Tennessee,142,3,137,,5,
6/25/2020,Blue Earth,Minnesota,265,2,265,2,,
6/25/2020,Bolivar,Mississippi,230,13,,,,
6/25/2020,Bollinger,Missouri,12,0,12,0,,
6/25/2020,Bon Homme,South Dakota,11,0,11,0,,
6/25/2020,Bond,Illinois,12,1,12,1,,
6/25/2020,Bonner,Idaho,19,0,19,,0,
6/25/2020,Bonneville,Idaho,103,1,68,1,35,0
6/25/2020,Boone,Arkansas,16,1,16,1,,
6/25/2020,Boone,Illinois,560,21,560,21,,
6/25/2020,Boone,Indiana,418,44,400,41,18,3
6/25/2020,Boone,Iowa,120,1,120,1,,
6/25/2020,Boone,Kentucky,587,23,587,23,,0
6/25/2020,Boone,Missouri,288,2,288,2,,
6/25/2020,Boone,Nebraska,7,0,7,0,,
6/25/2020,Boone,West Virginia,19,0,19,0,0,
6/25/2020,Bosque,Texas,10,0,10,0,,
6/25/2020,Bossier,Louisiana,720,28,720,28,,
6/25/2020,Botetourt,Virginia,69,4,,,,
6/25/2020,Bottineau,North Dakota,5,0,5,0,,
6/25/2020,Boulder,Colorado,1305,71,,,,
6/25/2020,Bourbon,Kansas,12,1,8,1,4,
6/25/2020,Bourbon,Kentucky,27,1,,,,
6/25/2020,Bowie,Texas,406,16,406,16,,
6/25/2020,Bowman,North Dakota,1,0,1,0,,
6/25/2020,Box Butte,Nebraska,3,0,3,0,,
6/25/2020,Box Elder,Utah,115,1,115,1,,
6/25/2020,Boyd,Kentucky,54,3,,,,
6/25/2020,Boyd,Nebraska,1,0,1,0,,
6/25/2020,Boyle,Kentucky,37,0,,,,
6/25/2020,Bracken,Kentucky,17,0,,,,
6/25/2020,Bradford,Florida,69,2,69,2,,
6/25/2020,Bradford,Pennsylvania,51,3,45,,6,
6/25/2020,Bradley,Arkansas,38,2,38,2,,
6/25/2020,Bradley,Tennessee,406,3,389,,17,
6/25/2020,Branch,Michigan,1047,25,1032,25,15,0
6/25/2020,Brantley,Georgia,79,2,79,2,,
6/25/2020,Braxton,West Virginia,3,0,3,0,0,
6/25/2020,Brazoria,Texas,1838,19,1838,19,,
6/25/2020,Brazos,Texas,1377,26,1377,26,,
6/25/2020,Breathitt,Kentucky,6,0,,,,
6/25/2020,Breckinridge,Kentucky,24,2,,,,
6/25/2020,Bremer,Iowa,85,6,85,6,,
6/25/2020,Brevard,Florida,1022,17,1022,17,,
6/25/2020,Brewster,Texas,61,0,61,0,,
6/25/2020,Briscoe,Texas,1,0,1,0,,
6/25/2020,Bristol,Massachusetts,8086,555,8086,555,,
6/25/2020,Bristol,Rhode Island,247,13,247,13,,
6/25/2020,Bristol Bay Borough,Alaska,5,0,5,,,
6/25/2020,Bristol city,Virginia,4,0,,,,
6/25/2020,Broadwater,Montana,5,0,5,0,,
6/25/2020,Brooke,West Virginia,11,0,10,0,1,
6/25/2020,Brookings,South Dakota,54,0,54,0,,
6/25/2020,Brooks,Georgia,123,11,123,11,,
6/25/2020,Brooks,Texas,3,0,3,0,,
6/25/2020,Broome,New York,671,61,671,61,,
6/25/2020,Broomfield,Colorado,284,29,,,,
6/25/2020,Broward,Florida,12217,378,12217,378,,
6/25/2020,Brown,Illinois,10,0,10,0,,
6/25/2020,Brown,Indiana,37,1,37,1,0,0
6/25/2020,Brown,Kansas,11,0,9,,2,
6/25/2020,Brown,Minnesota,23,2,23,2,,
6/25/2020,Brown,Ohio,47,1,,,,
6/25/2020,Brown,South Dakota,330,2,330,2,,
6/25/2020,Brown,Texas,65,10,65,10,,
6/25/2020,Brown,Wisconsin,2661,40,2661,40,,
6/25/2020,Brule,South Dakota,16,0,16,0,,
6/25/2020,Brunswick,North Carolina,403,5,403,5,,
6/25/2020,Brunswick,Virginia,93,1,,,,
6/25/2020,Bryan,Georgia,108,5,108,5,,
6/25/2020,Bryan,Oklahoma,75,1,75,1,,
6/25/2020,Buchanan,Iowa,42,1,42,1,,
6/25/2020,Buchanan,Missouri,819,3,819,3,,
6/25/2020,Buchanan,Virginia,18,0,,,,
6/25/2020,Buckingham,Virginia,553,4,,,,
6/25/2020,Bucks,Pennsylvania,5619,559,5311,504,308,55
6/25/2020,Buena Vista,Iowa,1675,10,1675,10,,
6/25/2020,Buena Vista city,Virginia,14,0,,,,
6/25/2020,Buffalo,Nebraska,181,1,181,1,,
6/25/2020,Buffalo,South Dakota,68,0,68,0,,
6/25/2020,Buffalo,Wisconsin,7,2,7,2,,
6/25/2020,Bullitt,Kentucky,148,4,118,,30,
6/25/2020,Bulloch,Georgia,219,3,219,3,,
6/25/2020,Bullock,Alabama,336,11,332,10,4,1
6/25/2020,Buncombe,North Carolina,514,36,514,36,,
6/25/2020,Bureau,Illinois,24,1,24,1,,
6/25/2020,Burke,Georgia,136,6,136,6,,
6/25/2020,Burke,North Carolina,934,17,934,17,,
6/25/2020,Burke,North Dakota,5,0,5,0,,
6/25/2020,Burleigh,North Dakota,214,0,214,0,,
6/25/2020,Burleson,Texas,67,0,67,0,,
6/25/2020,Burlington,New Jersey,5068,373,5068,373,,
6/25/2020,Burnet,Texas,100,3,100,3,,
6/25/2020,Burnett,Wisconsin,2,1,2,1,,
6/25/2020,Burt,Nebraska,11,0,11,0,,
6/25/2020,Butler,Alabama,584,27,582,27,2,0
6/25/2020,Butler,Iowa,37,2,37,2,,
6/25/2020,Butler,Kansas,52,0,52,,0,
6/25/2020,Butler,Kentucky,247,14,,,,
6/25/2020,Butler,Missouri,68,0,68,0,,
6/25/2020,Butler,Nebraska,51,0,51,0,,
6/25/2020,Butler,Ohio,1269,40,,,,
6/25/2020,Butler,Pennsylvania,277,13,245,,32,
6/25/2020,Butte,California,127,1,127,1,,
6/25/2020,Butts,Georgia,254,33,254,33,,
6/25/2020,Cabarrus,North Carolina,912,27,912,27,,
6/25/2020,Cabell,West Virginia,100,0,97,0,3,
6/25/2020,Cabo Rojo,Puerto Rico,67,,21,,46,
6/25/2020,Cache,Utah,1328,1,1328,1,,
6/25/2020,Caddo,Louisiana,2995,228,2995,228,,
6/25/2020,Caddo,Oklahoma,182,10,182,10,,
6/25/2020,Caguas,Puerto Rico,225,,52,,173,
6/25/2020,Calaveras,California,29,0,29,0,,
6/25/2020,Calcasieu,Louisiana,1010,54,1010,54,,
6/25/2020,Caldwell,Kentucky,13,0,,,,
6/25/2020,Caldwell,Louisiana,102,1,102,1,,
6/25/2020,Caldwell,Missouri,9,0,9,0,,
6/25/2020,Caldwell,North Carolina,328,4,328,4,,
6/25/2020,Caldwell,Texas,286,1,286,1,,
